,client_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,gendr_v
58338,6962354,29.0,350.0,24.5,F,2.0,17166.03,4.0,4.0,2
58373,501171,21.0,252.0,19.5,M,2.0,21777.21,3.0,3.0,1
58421,3758731,27.0,330.0,26.0,M,2.0,109127.41,7.0,7.0,1
58503,3709924,21.0,262.0,17.0,F,2.0,17556.789999999997,7.0,7.0,2
58564,8829220,26.0,323.0,20.0,M,2.0,16847.239999999998,2.0,2.0,1
58598,230566,22.0,266.0,19.0,M,2.0,72868.15,1.0,1.0,1
58607,7337642,30.0,366.0,19.5,M,3.0,49848.26,7.0,7.0,1
58618,983618,27.0,324.0,23.0,U,2.0,13910.44,1.0,1.0,0
58678,4746000,27.0,325.0,19.5,M,2.0,127038.5,1.0,1.0,1
58738,1108155,26.0,322.0,20.5,F,3.0,218116.67,1.0,1.0,2
58799,3529460,22.0,272.0,21.5,M,4.0,83249.64,5.0,5.0,1
58842,3333627,27.0,335.0,26.0,F,2.0,42585.82,1.0,1.0,2
59080,672927,16.0,196.0,14.5,F,2.0,15048.829999999998,2.0,2.0,2
59316,578877,22.0,275.0,20.0,M,3.0,51881.76,7.0,7.0,1
59356,8098867,22.0,264.0,17.0,F,2.0,25128.81,7.0,7.0,2
59458,1834186,24.0,290.0,18.0,F,2.0,125432.55,2.0,2.0,2
59735,1129397,21.0,254.0,15.0,U,3.0,27271.81,6.0,6.0,0
59749,5638741,21.0,260.0,16.0,F,3.0,63186.26,1.0,1.0,2
59836,3071220,25.0,303.0,17.0,F,2.0,16977.28,4.0,4.0,2
59980,137586,24.0,292.0,16.0,F,2.0,41622.06,4.0,4.0,2
60099,8220287,29.0,348.0,21.0,F,3.0,135992.91,7.0,7.0,2
60111,2889654,21.0,259.0,17.5,F,2.0,24455.93,5.0,5.0,2
60197,6151401,23.0,282.0,16.5,F,3.0,135139.69,4.0,4.0,2
60244,1108492,17.0,207.0,16.5,F,2.0,16315.05,3.0,3.0,2
60352,2794352,31.0,375.0,24.5,M,2.0,21375.14,7.0,7.0,1
60402,7069062,25.0,302.0,23.0,F,2.0,14365.699999999995,3.0,3.0,2
60425,5189471,29.0,348.0,20.5,M,2.0,22026.21,2.0,3.0,1
60444,9506367,23.0,277.0,21.5,F,3.0,76474.56,3.0,4.0,2
60484,5868481,24.0,293.0,16.5,U,2.0,29145.53,1.0,1.0,0
60519,5852271,27.0,333.0,22.5,F,3.0,33462.91,1.0,1.0,2
60560,2908180,21.0,253.0,19.5,F,2.0,156364.33000000002,2.0,2.0,2
60564,6088587,26.0,313.0,22.0,F,2.0,14092.059999999998,1.0,1.0,2
60574,5772868,25.0,305.0,20.5,F,2.0,23172.13,7.0,7.0,2
60577,7640965,20.0,248.0,17.0,F,2.0,18197.95,3.0,3.0,2
60682,7512498,28.0,347.0,22.5,M,2.0,58389.92,5.0,5.0,1
60727,1419974,24.0,293.0,20.0,F,2.0,60874.75,7.0,7.0,2
60742,7102848,27.0,324.0,20.0,M,2.0,17192.89,2.0,2.0,1
60854,3475013,22.0,268.0,16.5,M,2.0,20125.97,2.0,2.0,1
60966,5050555,23.0,283.0,18.0,M,4.0,84613.56,4.0,4.0,1
61175,846562,27.0,335.0,20.0,U,2.0,17637.6,3.0,3.0,0
61177,5010593,29.0,349.0,23.5,F,2.0,36048.03,3.0,3.0,2
61263,7811480,27.0,335.0,20.0,M,2.0,122827.12,7.0,7.0,1
61326,8332865,26.0,317.0,21.5,F,3.0,23794.69,2.0,2.0,2
61345,7567971,33.0,403.0,27.0,M,2.0,25650.22,3.0,3.0,1
61407,4754605,23.0,277.0,22.5,F,2.0,22582.86,1.0,1.0,2
61450,3395389,23.0,286.0,20.5,F,2.0,48944.21,6.0,6.0,2
62020,7960736,22.0,275.0,16.0,F,2.0,21703.25,2.0,2.0,2
62031,8154097,21.0,257.0,16.5,M,2.0,16545.6,4.0,4.0,1
62055,5329555,31.0,378.0,30.5,F,3.0,180430.52,4.0,4.0,2
62197,6584696,21.0,258.0,17.0,M,2.0,22718.94,6.0,6.0,1
62243,9408668,33.0,406.0,32.5,M,3.0,172174.24,6.0,6.0,1
62289,4941972,25.0,303.0,22.5,U,2.0,24523.66,7.0,7.0,0
62328,6489436,23.0,278.0,17.5,F,2.0,24245.35,3.0,3.0,2
62458,3260005,23.0,283.0,20.0,F,2.0,36651.75,2.0,3.0,2
62500,4922223,20.0,245.0,17.0,M,3.0,36686.33,3.0,3.0,1
62533,8517194,47.0,569.0,38.5,M,2.0,189727.49,3.0,3.0,1
62841,7919554,21.0,259.0,18.0,F,2.0,19701.8,1.0,1.0,2
62952,360629,22.0,270.0,16.0,U,2.0,36546.28999999999,3.0,3.0,0
62954,6993020,21.0,254.0,18.0,F,2.0,56121.86,7.0,7.0,2
62985,6270940,25.0,307.0,18.0,M,2.0,17953.14,1.0,1.0,1
63010,6901597,23.0,278.0,19.0,M,2.0,48249.57,6.0,6.0,1
63062,5951041,43.0,516.0,24.5,M,4.0,257539.33,7.0,7.0,1
63132,4781122,24.0,288.0,23.0,M,3.0,48279.26,6.0,6.0,1
63265,3150084,48.0,576.0,40.0,F,4.0,949682.15,7.0,7.0,2
63310,4706443,21.0,257.0,15.5,M,2.0,69067.13,7.0,7.0,1
63345,6645040,24.0,290.0,18.5,F,2.0,18086.39,7.0,7.0,2
63368,6982155,30.0,365.0,25.5,F,2.0,13857.129999999996,1.0,1.0,2
63561,3561946,22.0,271.0,16.5,F,3.0,329278.99,6.0,6.0,2
63707,7242414,22.0,269.0,21.5,F,2.0,92955.35,2.0,3.0,2
63782,4721969,24.0,288.0,20.0,M,2.0,91079.82,1.0,1.0,1
63796,1706343,26.0,321.0,18.5,M,2.0,205924.08,3.0,3.0,1
63846,3201322,20.0,240.0,17.5,M,2.0,29040.0,2.0,2.0,1
64091,9047448,28.0,347.0,20.5,F,2.0,90763.12,3.0,3.0,2
64129,7340571,23.0,281.0,20.0,M,2.0,367151.3,7.0,7.0,1
64456,5811393,24.0,290.0,19.0,M,2.0,33683.66,2.0,2.0,1
64496,4442987,24.0,290.0,22.0,F,2.0,25624.57,7.0,7.0,2
64543,2149920,22.0,270.0,18.5,F,2.0,30071.11,2.0,2.0,2
64690,357409,62.0,749.0,51.0,F,2.0,317681.78,4.0,4.0,2
64827,8502193,29.0,358.0,25.0,M,2.0,63660.76999999999,7.0,7.0,1
64927,9873173,31.0,373.0,27.5,M,2.0,294499.11,3.0,3.0,1
64959,4221777,21.0,260.0,16.0,M,3.0,30961.46,3.0,3.0,1
65036,3442409,21.0,261.0,19.0,M,3.0,43743.85,5.0,5.0,1
65219,2579056,34.0,419.0,27.5,M,2.0,26134.93,1.0,1.0,1
65236,2265837,27.0,325.0,23.5,F,2.0,16632.01,5.0,5.0,2
65356,2594072,21.0,254.0,17.5,F,2.0,21943.8,7.0,7.0,2
65366,2917506,48.0,576.0,37.5,F,2.0,396601.29,4.0,4.0,2
65444,9777089,23.0,284.0,19.0,M,3.0,41663.75,4.0,4.0,1
65450,1314066,27.0,326.0,19.5,M,2.0,446069.12,5.0,5.0,1
65512,667138,20.0,246.0,19.0,M,2.0,41212.53999999999,2.0,2.0,1
65714,6160683,23.0,277.0,17.0,F,2.0,22780.61,2.0,2.0,2
65715,4183731,20.0,244.0,19.5,U,2.0,17401.98,7.0,7.0,0
65732,2884017,30.0,365.0,23.0,F,2.0,51200.12,3.0,3.0,2
65814,6110023,24.0,289.0,19.0,F,2.0,29024.71,5.0,5.0,2
65958,5923230,24.0,296.0,23.5,M,2.0,59124.51,7.0,7.0,1
65959,7512436,23.0,284.0,20.0,U,2.0,94520.19,4.0,4.0,0
65960,4128254,48.0,576.0,44.5,M,4.0,1084066.72,7.0,7.0,1
66025,5679356,27.0,325.0,22.0,F,2.0,123848.76,3.0,3.0,2
66100,685028,26.0,316.0,17.5,M,2.0,33647.72,4.0,4.0,1
66126,7773608,21.0,260.0,19.0,F,2.0,32473.21,1.0,1.0,2
66127,7410832,19.0,239.0,15.0,M,4.0,111140.26,4.0,4.0,1
66186,1422269,26.0,323.0,20.0,M,4.0,83390.34,5.0,5.0,1
66388,2280585,22.0,265.0,18.0,M,3.0,133019.53999999998,4.0,4.0,1
66574,5050357,20.0,241.0,17.0,F,2.0,19554.79,4.0,4.0,2
66745,6451069,23.0,280.0,16.5,M,2.0,25955.009999999995,3.0,3.0,1
66751,9103011,34.0,409.0,25.5,F,2.0,81476.25,3.0,3.0,2
66769,9903678,24.0,290.0,20.0,F,2.0,48731.44,1.0,1.0,2
66771,869035,21.0,254.0,15.0,M,2.0,33336.8,1.0,1.0,1
66955,7717247,16.0,195.0,15.5,M,2.0,24752.13,4.0,5.0,1
67373,2361730,23.0,276.0,15.5,F,2.0,33692.31,3.0,3.0,2
67500,637878,34.0,419.0,29.5,F,3.0,253468.34000000003,4.0,4.0,2
67611,8139367,26.0,323.0,25.0,M,2.0,57619.69,7.0,7.0,1
67631,8977244,26.0,316.0,18.0,M,2.0,72700.08,5.0,5.0,1
67709,7465719,24.0,293.0,21.5,M,2.0,19441.49,4.0,4.0,1
67711,3713433,22.0,264.0,19.5,F,2.0,16420.3,3.0,3.0,2
67809,5888385,34.0,416.0,29.0,M,2.0,20167.67,4.0,4.0,1
67889,8087769,25.0,304.0,18.0,F,4.0,54380.24,4.0,5.0,2
67906,9737229,24.0,289.0,20.5,F,2.0,32574.81,3.0,3.0,2
67994,8087145,22.0,270.0,15.0,M,2.0,46645.85,6.0,6.0,1
68161,5377738,23.0,276.0,18.0,F,2.0,15422.589999999997,1.0,1.0,2
68241,6038587,21.0,259.0,15.5,F,3.0,32254.28,4.0,4.0,2
68354,4437418,28.0,343.0,26.5,M,2.0,319987.58,7.0,7.0,1
68385,4782993,22.0,272.0,21.0,M,2.0,30108.75,2.0,2.0,1
68465,4486220,22.0,264.0,20.5,F,2.0,49350.4,2.0,2.0,2
68570,9570731,20.0,247.0,15.5,M,2.0,20587.92,1.0,1.0,1
68674,7002758,26.0,315.0,19.5,M,2.0,22825.35,3.0,3.0,1
68712,7123625,16.0,193.0,15.5,F,2.0,69508.57,3.0,3.0,2
68783,5639328,26.0,313.0,25.0,M,2.0,14766.109999999995,7.0,7.0,1
68848,8668783,23.0,281.0,20.5,F,2.0,25296.11,4.0,4.0,2
68929,2404166,22.0,268.0,19.0,M,2.0,16339.35,6.0,6.0,1
69153,9179199,20.0,250.0,18.0,M,2.0,84843.67,7.0,7.0,1
69317,313068,26.0,317.0,21.5,M,2.0,132523.16,3.0,3.0,1
69453,619829,21.0,253.0,18.0,F,5.0,44688.86,7.0,7.0,2
69888,8309503,26.0,318.0,20.5,F,2.0,18343.43,1.0,1.0,2
69891,8211593,24.0,289.0,21.0,M,2.0,321988.67,5.0,5.0,1
69897,3224721,26.0,313.0,19.0,M,3.0,57774.66,2.0,2.0,1
69919,7335764,27.0,325.0,23.0,M,2.0,17791.12,4.0,4.0,1
69981,1469874,24.0,292.0,18.5,F,3.0,69240.93,7.0,7.0,2
70156,5752561,23.0,281.0,18.5,F,2.0,24124.66,5.0,5.0,2
70276,4270267,32.0,390.0,31.5,M,2.0,228691.16,7.0,7.0,1
70307,1828490,23.0,276.0,14.5,M,2.0,30214.58,3.0,3.0,1
70420,6911362,30.0,361.0,23.0,F,2.0,51142.87,3.0,3.0,2
70437,699213,23.0,286.0,17.0,M,2.0,29734.42,6.0,6.0,1
70439,6672629,24.0,299.0,23.0,U,4.0,91746.29,4.0,4.0,0
70479,9696505,20.0,250.0,18.5,F,2.0,15010.149999999998,2.0,2.0,2
70524,9147180,31.0,374.0,24.0,F,2.0,57062.45999999999,5.0,5.0,2
