,client_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,gendr_v
28464,5132385,24.0,289.0,20.5,F,3.0,39436.82,3.0,6.0,2
28577,6534022,28.0,336.0,26.0,U,3.0,111324.49,3.0,6.0,0
28658,8403485,33.0,402.0,25.5,F,2.0,31561.87,1.0,4.0,2
29084,5049084,23.0,277.0,20.0,M,3.0,33663.7,6.0,9.0,1
29125,4191064,24.0,293.0,21.5,F,2.0,76854.84,5.0,8.0,2
29255,7228845,28.0,342.0,25.0,F,3.0,148953.91,1.0,4.0,2
29356,1779552,23.0,287.0,22.5,F,2.0,36386.68,1.0,4.0,2
29361,8341255,20.0,243.0,17.5,M,2.0,29913.51,2.0,5.0,1
29368,6122432,34.0,410.0,29.5,M,3.0,36521.6,6.0,9.0,1
29402,7142986,32.0,395.0,28.5,F,2.0,35001.85,6.0,9.0,2
29621,3685546,25.0,310.0,23.5,M,2.0,32934.06,6.0,9.0,1
29915,1840368,26.0,313.0,25.0,F,2.0,33373.11,1.0,4.0,2
29922,8534599,26.0,321.0,24.0,M,2.0,23840.22,2.0,5.0,1
30047,9706459,22.0,266.0,18.0,F,2.0,91219.97,0.0,3.0,2
30257,7357596,23.0,280.0,21.5,F,2.0,34698.47,1.0,4.0,2
30633,5002833,23.0,287.0,21.5,M,2.0,24809.62,6.0,9.0,1
30849,358285,32.0,394.0,29.0,M,2.0,161441.41999999998,2.0,7.0,1
30894,2409327,27.0,326.0,25.0,M,2.0,56991.88,5.0,8.0,1
30974,1146828,21.0,256.0,19.0,F,2.0,23815.85,0.0,3.0,2
31067,6524810,25.0,304.0,21.5,M,2.0,62049.23,0.0,3.0,1
31460,3412732,20.0,247.0,18.0,M,2.0,24837.54,4.0,7.0,1
31779,1848243,20.0,240.0,19.0,M,2.0,47214.96,4.0,7.0,1
31826,6386134,26.0,317.0,21.5,F,2.0,39958.42,1.0,4.0,2
31951,9233946,24.0,299.0,23.0,M,2.0,35093.21,2.0,5.0,1
32077,3047437,31.0,373.0,28.5,M,3.0,105384.12,5.0,8.0,1
32140,727016,21.0,254.0,20.0,M,3.0,62737.92,3.0,6.0,1
32356,2969410,24.0,290.0,23.0,U,2.0,24676.54,4.0,7.0,0
32632,8671136,27.0,331.0,22.5,M,2.0,170368.31,1.0,4.0,1
32731,8174731,27.0,329.0,25.0,M,3.0,28592.73,6.0,9.0,1
32802,4462768,37.0,445.0,31.5,M,2.0,48684.12,6.0,9.0,1
32834,5618665,54.0,655.0,39.0,F,2.0,70645.03,2.0,5.0,2
32898,6185706,24.0,296.0,19.5,M,2.0,64421.72,6.0,9.0,1
33143,5640079,24.0,294.0,18.5,M,2.0,51269.97,5.0,8.0,1
33146,6744614,23.0,286.0,21.5,F,4.0,114893.48,3.0,6.0,2
33383,9587164,26.0,317.0,20.5,F,3.0,30362.54,6.0,9.0,2
33556,2628956,24.0,294.0,19.0,U,2.0,29733.36,4.0,7.0,0
33629,3987115,25.0,300.0,20.5,F,2.0,57416.15,1.0,4.0,2
33756,8019092,24.0,297.0,20.0,U,2.0,35291.42,2.0,5.0,0
34082,2907116,23.0,283.0,19.0,M,3.0,44135.67,4.0,7.0,1
34153,8156436,23.0,287.0,19.0,U,3.0,57858.83,2.0,5.0,0
34481,2850288,30.0,371.0,29.5,M,3.0,231195.41,6.0,9.0,1
34493,3032968,22.0,271.0,19.5,F,2.0,52335.72,2.0,7.0,2
34626,8444177,27.0,333.0,23.5,M,2.0,175161.34000000003,2.0,5.0,1
34672,2968779,24.0,291.0,23.5,M,2.0,64321.99,6.0,9.0,1
