,Control,Test
Start,10.203398809440827,10.006353775998472
Step 1,2.882993405919337,3.038004576967843
Step 2,2.4076061953688086,2.1181127598441356
Step 3,2.0277146561458785,1.9201898260864676
Confirm,2.050717263108001,3.5046978582714354
